id,essential_workplaces_id,ont_category,ont_description,ont_item,naics_code,naics_title,entirely_essential,notes
119,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3324,"Boiler, tank and shipping container manufacturing",1,
120,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3325,Hardware manufacturing,1,
121,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3326,Spring and wire product manufacturing,1,
122,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3327,"Machine shops, turned product, and screw, nut and bolt manufacturing",1,
123,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3328,"Coating, engraving, cold and heat treating and allied activities",1,
124,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3329,Other fabricated metal product manufacturing,1,
125,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3331,"Agricultural, construction and mining machinery manufacturing",1,
126,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3332,Industrial machinery manufacturing,1,
127,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3333,Commercial and service industry machinery manufacturing,1,
128,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3334,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufactu",1,
129,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3335,Metalworking machinery manufacturing,1,
130,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3336,"Engine, turbine and power transmission equipment manufacturing",1,
131,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3339,Other general-purpose machinery manufacturing,1,
132,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3341,Computer and peripheral equipment manufacturing,1,
133,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3342,Communications equipment manufacturing,1,
134,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3343,Audio and video equipment manufacturing,1,
135,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3344,Semiconductor and other electronic component manufacturing,1,
136,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3345,"Navigational, measuring, medical and control instruments manufacturing",1,
137,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3346,Manufacturing and reproducing magnetic and optical media,1,
138,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3351,Electric lighting equipment manufacturing,1,
139,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3352,Household appliance manufacturing,1,
140,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3353,Electrical equipment manufacturing,1,
141,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3359,Other electrical equipment and component manufacturing,1,
142,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3361,Motor vehicle manufacturing,1,
143,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3362,Motor vehicle body and trailer manufacturing,1,
144,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3363,Motor vehicle parts manufacturing,1,
145,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3364,Aerospace product and parts manufacturing,1,
146,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3365,Railroad rolling stock manufacturing,1,
147,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3366,Ship and boat building,1,
148,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3369,Other transportation equipment manufacturing,1,
149,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3371,Household and institutional furniture and kitchen cabinet manufacturing,1,
150,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3372,Office furniture (including fixtures) manufacturing,1,
151,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3379,Other furniture-related product manufacturing,1,
152,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3391,Medical equipment and supplies manufacturing,1,
153,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3399,Other miscellaneous manufacturing,1,
154,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4142,Home entertainment equipment and household appliance merchant wholesalers,1,
155,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4143,Home furnishings merchant wholesalers,1,
156,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4144,Personal goods merchant wholesalers,1,
157,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4151,Motor vehicle merchant wholesalers,1,
158,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4152,New motor vehicle parts and accessories merchant wholesalers,1,
159,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4153,Used motor vehicle parts and accessories merchant wholesalers,1,
160,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4161,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",1,
161,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4171,"Farm, lawn and garden machinery and equipment merchant wholesalers",1,
162,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4172,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers",1,
163,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4173,Computer and communications equipment and supplies merchant wholesalers,1,
164,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4179,"Other machinery, equipment and supplies merchant wholesalers",1,
165,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4181,Recyclable material merchant wholesalers,1,
166,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4181,Recyclable material merchant wholesalers\,1,
167,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4182,"Paper, paper product and disposable plastic product merchant wholesalers",1,
168,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4191,"Business-to-business electronic markets, and agents and brokers",1,
169,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,4191,"Business-to-business electronic markets, and agents and brokers",1,
170,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,8113,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,1,
171,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1111,Oilseed and grain farming,1,
172,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1112,Vegetable and melon farming,1,
173,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1113,Fruit and tree nut farming,1,
174,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1114,"Greenhouse, nursery and floriculture production",1,
175,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1119,Other crop farming,1,
176,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1121,Cattle ranching and farming,1,
177,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1122,Hog and pig farming,1,
178,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1123,Poultry and egg production,1,
179,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1124,Sheep and goat farming,1,
180,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1125,Aquaculture,1,
181,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1129,Other animal production,1,
182,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1141,Fishing,1,
183,42,Agriculture and food production,"24. Businesses that produce food and beverages, and agricultural products including plants, including by farming, harvesting, aquaculture, hunting and fishing.",,1142,Hunting and trapping,1,
184,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3111,Animal food manufacturing,1,
185,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3112,Grain and oilseed milling,1,
186,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3113,Sugar and confectionery product manufacturing,1,
187,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3114,Fruit and vegetable preserving and specialty food manufacturing,1,
188,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3115,Dairy product manufacturing,1,
189,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3116,Meat product manufacturing,1,
190,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3117,Seafood product preparation and packaging,1,
191,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3118,Bakeries and tortilla manufacturing,1,
192,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3119,Other food manufacturing,1,
193,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,3121,Beverage manufacturing,1,
194,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,4111,Farm product wholesalers,1,
195,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,4131,Food merchant wholesalers,1,
196,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,4132,Beverage merchant wholesalers,1,
197,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,4133,Cigarette and tobacco product merchant wholesalers,1,
198,43,Agriculture and food production,"25. Businesses that process, manufacture or distribute food, beverages, crops, agricultural products, animal products and by-products.",,4134,Cannabis merchant wholesalers,1,
199,44,Agriculture and food production,"26. Businesses that support the food or agricultural products supply chains and the health and safety of food, animals and plants.",,1151,Support activities for crop production,1,
200,44,Agriculture and food production,"26. Businesses that support the food or agricultural products supply chains and the health and safety of food, animals and plants.",,1152,Support activities for animal production,1,
201,44,Agriculture and food production,"26. Businesses that support the food or agricultural products supply chains and the health and safety of food, animals and plants.",,3253,"Pesticide, fertilizer and other agricultural chemical manufacturing",1,
202,44,Agriculture and food production,"26. Businesses that support the food or agricultural products supply chains and the health and safety of food, animals and plants.",,4183,Agricultural supplies merchant wholesalers,1,
203,45,Construction,"27. Construction projects and services associated with the healthcare sector, including new facilities, expansions, renovations and conversion of spaces that could be repurposed for health care space.",,2362,Non-residential building construction,0,
204,45,Construction,"27. Construction projects and services associated with the healthcare sector, including new facilities, expansions, renovations and conversion of spaces that could be repurposed for health care space.",,2381,"Foundation, structure, and building exterior contractors",0,
205,45,Construction,"27. Construction projects and services associated with the healthcare sector, including new facilities, expansions, renovations and conversion of spaces that could be repurposed for health care space.",,2382,Building equipment contractors,0,
206,45,Construction,"27. Construction projects and services associated with the healthcare sector, including new facilities, expansions, renovations and conversion of spaces that could be repurposed for health care space.",,2383,Building finishing contractors,0,
207,45,Construction,"27. Construction projects and services associated with the healthcare sector, including new facilities, expansions, renovations and conversion of spaces that could be repurposed for health care space.",,2389,Other specialty trade contractors,0,
208,46,Construction,"28. Construction projects and services required to ensure safe and reliable operations of, or to provide new capacity in, critical provincial infrastructure, including transit, transportation, energy and justice sectors beyond the day-to-day maintenance.",,2371,Utility system construction,1,
209,46,Construction,"28. Construction projects and services required to ensure safe and reliable operations of, or to provide new capacity in, critical provincial infrastructure, including transit, transportation, energy and justice sectors beyond the day-to-day maintenance.",,2372,Land subdivision,0,
210,46,Construction,"28. Construction projects and services required to ensure safe and reliable operations of, or to provide new capacity in, critical provincial infrastructure, including transit, transportation, energy and justice sectors beyond the day-to-day maintenance.",,2373,"Highway, street and bridge construction",1,
211,46,Construction,"28. Construction projects and services required to ensure safe and reliable operations of, or to provide new capacity in, critical provincial infrastructure, including transit, transportation, energy and justice sectors beyond the day-to-day maintenance.",,2379,Other heavy and civil engineering construction,0,
212,47,Construction,"29.Critical industrial construction activities required for,","the maintenance and operations of petrochemical plants and refineries,",2362,Non-residential building construction,0,
213,48,Construction,"29.Critical industrial construction activities required for,","industrial construction and modifications to existing industrial structures limited solely to work necessary for the production, maintenance, and/or enhancement of Personal Protective Equipment, medical devices (such as ventilators), and other identified products directly related to combatting the COVID-19 pandemic.",,,0,
214,49,Construction,"29.Critical industrial construction activities required for,","significant industrial petrochemical projects where preliminary work has already commenced,",2371,Utility system construction,1,
215,50,Construction,"29.1 Construction projects that are due to be completed before October 4, 2020 and that would provide additional capacity in the production, processing, manufacturing or distribution of food, beverages or agricultural products.",,2362,Non-residential building construction,0,
216,51,Construction,"30. Residential construction projects where,","a footing permit has been granted for single family, semi-detached and townhomes",2361,Residential building construction,0,
217,52,Construction,"30. Residential construction projects where,","an above grade structural permit has been granted for condominiums, mixed use and other buildings, or",2361,Residential building construction,0,
218,53,Construction,"30. Residential construction projects where,","the project involves renovations to residential properties and construction work was started before April 4, 2020.",2361,Residential building construction,0,
219,54,Construction,31. Construction and maintenance activities necessary to temporarily close construction sites that have paused or are not active and to ensure ongoing public safety.,,,,1,"included in other construction, above"
